timestamp,pdop,hdop,vdop,lati,longi,gps_speed,gps_mode,gps_fix_type,gps_fix_quality,gps_sats_tracked,gps_alt,gps_height,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_pa,tc_temp_C,cjc_temp_C,oc_sc_flags,batt_voltage_V,batt_current_mA,baro_calculated_altitude_m,accel_magnitude_less_gravity_g
0.0,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,0.037,1.0,-0.163,0.2,-5.7,0.7,101437,27.0,28.2,0,4.14,50.3,0.25810795302444456,0.013872773083487111
0.064,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.089,0.99,-0.081,-1.1,-15.4,-2.5,101437,27.5,28.2,0,4.15,41.0,0.25810795302444456,-0.002712679314531785
0.104,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.096,0.997,-0.11,-2.0,-0.4,-2.1,101437,27.5,27.9,0,4.14,42.9,0.25810795302444456,0.007633365862802277
0.153,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.091,0.985,-0.123,-1.6,-4.8,0.6,101437,27.2,28.1,0,4.15,42.4,0.25810795302444456,-0.0031875803341935294
0.203,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.081,0.993,-0.094,-1.8,-3.3,2.4,101437,27.5,28.1,0,4.11,74.5,0.25810795302444456,0.0007227388242958543
0.253,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.05,0.996,-0.085,-1.8,6.6,1.9,101441,27.5,28.1,0,4.11,73.1,-0.08603461079542087,0.0008701214443360694
0.303,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.032,1.0,-0.093,-0.9,4.0,1.2,101441,27.0,28.1,0,4.14,45.2,-0.08603461079542087,0.004824860361247074
0.353,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,0.002,0.995,-0.123,-0.7,-3.8,0.2,101441,27.5,28.1,0,4.16,40.5,-0.08603461079542087,0.0025756829287253424
0.403,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.081,1.0,-0.046,-0.5,-6.4,-0.9,101441,27.5,28.0,0,4.11,75.9,-0.08603461079542087,0.00432912931966678
0.453,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.088,0.991,-0.08,0.0,3.0,-0.7,101441,27.2,28.1,0,4.16,42.9,-0.08603461079542087,-0.0018892846983357137
0.503,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.081,0.987,-0.158,-0.5,3.7,0.7,101435,27.2,28.1,0,4.14,43.3,0.43018335569223315,0.0028429587926517286
0.553,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.095,0.997,-0.092,-1.0,-5.1,1.1,101435,27.2,28.1,0,4.15,42.4,0.43018335569223315,0.005732568827319984
0.603,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.004,0.998,-0.105,-1.6,-1.9,0.7,101435,27.5,27.7,0,4.15,42.4,0.43018335569223315,0.003516317754723941
0.653,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.069,0.998,-0.079,-1.6,0.7,0.3,101435,27.0,27.7,0,4.14,42.4,0.43018335569223315,0.003496885894520352
0.703,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.084,0.992,-0.074,-0.6,-2.4,-0.1,101435,27.0,28.2,0,4.12,70.3,0.43018335569223315,-0.0017034508724373953
0.753,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,0.014,0.994,-0.092,0.9,6.9,0.4,101433,27.2,27.9,0,4.12,76.8,0.6022615056609358,-0.0016533668109056654
0.803,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.078,1.0,-0.154,0.2,1.3,0.4,101433,27.0,27.9,0,4.14,49.8,0.6022615056609358,0.014790618797789312
0.853,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.103,0.991,-0.124,-1.4,-7.0,-0.1,101433,27.0,27.8,0,4.14,46.6,0.6022615056609358,0.004024900089634187
0.903,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.039,0.996,-0.125,-1.3,-0.5,0.9,101433,27.2,28.0,0,4.13,52.2,0.6022615056609358,0.004570555013434507
0.953,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.034,0.993,-0.083,-1.4,0.6,0.9,101433,27.5,28.0,0,4.14,48.4,0.6022615056609358,-0.002957373027612231
1.004,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.065,0.995,-0.064,-0.9,-3.0,0.8,101437,27.5,27.9,0,4.14,52.2,0.25810795302444456,-0.0008273422475972847
1.067,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,0.012,0.996,-0.083,0.9,12.7,0.4,101437,27.0,28.1,0,4.16,40.1,0.25810795302444456,-0.00047561310391230904
1.106,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.016,0.999,-0.146,1.8,6.0,-0.4,101437,27.5,28.1,0,4.12,74.5,0.25810795302444456,0.009739075207055636
1.156,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.072,0.998,-0.141,-0.1,-2.3,-0.9,101437,27.0,27.8,0,4.15,42.9,0.25810795302444456,0.01047958910608382
1.206,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.058,0.987,-0.171,-0.9,-6.1,0.1,101437,27.0,27.9,0,4.14,42.4,0.25810795302444456,0.003381283461078022
1.256,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.078,0.995,-0.122,-2.1,-4.1,0.2,101438,27.2,27.9,0,4.11,71.2,0.17207128189720144,0.005481476706557853
1.306,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.101,0.995,-0.079,-1.6,-4.1,1.2,101438,27.0,27.7,0,4.14,45.2,0.17207128189720144,0.003228289074824753
1.356,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,-0.055,0.997,-0.077,-1.1,3.0,1.2,101438,27.0,28.4,0,4.15,41.0,0.17207128189720144,0.0014804042016998142
1.406,0,0,0,-43.81921,172.655654,0.0,A,3,1,12,13.9,10.0,0.009,0.998,-0.095,-0.2,6.4,1.1,101438,28.0,28.4,0,4.14,42.9,0.17207128189720144,0.002551744300512304
