# Untuned case (Up to date)
# 704 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=12 seconds
12.01,0.0021176147,0.423568981,42.3706874048,0.423568981,42.3706874048,0,0,0,0,0,0,-43.53,-172.633,9.8047432222,78.9701037431,0,0,0,2050.7037853257,614.9096906919,0.298496168,0.0034319675,NaN,96.4178602715,NaN,0.0065071671,211281.4483873125,106.9965625,0.0002094122,0.5365936571,0.0085341658,0.3721254714,0.0444626811,0.1200055046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000447872,10.221,82.0496358537,90,0,2.1730198839,14.733486234,1008.4411387016,340.2273926578,0.01,0.001181612
12.02,0.0132455967,1.802195666,137.9215379794,1.802195666,137.9215379794,0,0,0,0,0,0,-43.53,-172.633,9.8047432157,50.4294497361,0,0,0,2049.2351405442,613.4410459105,0.2983545575,0.0034317007,NaN,96.3968815291,NaN,0.0083150368,269980.9740920398,302.7360375,0.0101508931,0.5154446076,0.2533492049,0.351616608,0.0438190115,0.1200089882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001905556,10.221,82.0496358537,90,0,2.1807107933,14.7334138995,1008.4398335288,340.2273488231,0.01,0.00143612
# Event LIFTOFF occurred at t=12.03 seconds
12.03,0.038822269,3.3133818553,151.1909125199,3.3133818553,151.1909125199,0,0,0,0,0,0,-43.53,-172.633,9.8047431814,33.4436895818,0,0,0,2047.1989925527,611.4048979189,0.298157928,0.0034313308,NaN,96.3677465375,NaN,0.0116711596,378950.0971050851,329.62925,0.0391058429,0.48902007,0.4954029333,0.3259338099,0.043068552,0.1200177081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0003503497,10.221,82.0496358537,90,0,2.1884017027,14.7332476472,1008.4368337435,340.2272480742,0.01,0.001672544
12.04,0.0791716179,4.756711111,144.3995085376,4.756711111,144.3995085376,0,0,0,0,0,0,-43.53,-172.633,9.8047431027,24.7819584552,0,0,0,2045.1628445612,609.3687499274,0.2979609503,0.0034309609,NaN,96.3385535327,NaN,0.0153991053,499990.7541596932,315.45175,0.0789440719,0.469555825,0.5744808159,0.3069701626,0.0425548352,0.1200308272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0005029638,10.221,82.0496358537,90,0,2.1960926121,14.7329853772,1008.4321014534,340.2270891386,0.01,0.00192563
12.05,0.1336225988,6.1336904862,137.7588989979,6.1336904862,137.7588989979,0,0,0,0,0,0,-43.53,-172.633,9.8047429785,19.7629273125,0,0,0,2043.1434013837,607.3493067499,0.2977652435,0.003430594,NaN,96.3095425589,NaN,0.0191565729,621988.3284266358,301.6185587302,0.1248773419,0.4554241165,0.5872158387,0.2931727866,0.0422036232,0.1200477067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0006485626,10.221,82.0496358537,90,0,2.2037835214,14.7326314463,1008.4257152754,340.2268746565,0.01,0.002166482
12.06,0.2017889011,7.4997613352,136.6643081186,7.4997613352,136.6643081186,0,0,0,0,0,0,-43.53,-172.633,9.8047428109,16.2509223628,0,0,0,2041.1907774622,605.3966828285,0.2975756847,0.0034302393,NaN,96.281436913,NaN,0.0229608243,745502.8475392654,299.1475555556,0.1762796145,0.4444306345,0.5770060293,0.2824182241,0.0419438745,0.1200685359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0007930075,10.221,82.0496358537,90,0,2.1861123388,14.7321883659,1008.4177205202,340.2266061497,0.01,0.002402406
12.07,0.2836960607,8.8818615517,138.2672028667,8.8818615517,138.2672028667,0,0,0,0,0,0,-43.53,-172.633,9.8047426011,13.7199494614,0,0,0,2039.2381535408,603.444058907,0.2973858027,0.0034298845,NaN,96.2532774433,NaN,0.0268725135,872503.1715487578,302.1854920635,0.2315313965,0.4353832982,0.5532872681,0.2735498184,0.0417396027,0.1200938772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0009391476,10.221,82.0496358537,90,0,2.1684411562,14.7316559694,1008.4081141834,340.2262835174,0.01,0.002646274
12.08,0.3795044319,10.2800026743,139.8709362388,10.2800026743,139.8709362388,0,0,0,0,0,0,-43.53,-172.633,9.804742349,11.8169033231,0,0,0,2037.2855296194,601.4914349856,0.2971955968,0.0034295298,NaN,96.2250639951,NaN,0.0308694442,1002268.0769125212,305.2234285714,0.2913344485,0.4277719458,0.5275898727,0.2660731276,0.0415749382,0.1201238799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010869838,10.221,82.0496358537,90,0,2.1507699736,14.731033215,1008.3968774674,340.2259061283,0.01,0.002878741
12.0897276239,0.4861938437,11.6554910964,141.4515313713,11.6554910964,141.4515313713,0,0,0,0,0,0,-43.53,-172.633,9.8047420541,10.3733809495,0,0,0,2035.3860905012,599.5919958675,0.2970102598,0.0034291847,NaN,96.1975670728,NaN,0.0348272863,1130760.6210318191,308.2199920188,0.3550769877,0.4214140745,0.5051855271,0.2598135189,0.0414428735,0.1201576822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012324213,10.221,82.0496358537,90,0,2.1335801117,14.7303397364,1008.3843646348,340.2254858803,0.0097276239,0.003110097
